mangaid,plateifu,ff_age_lw,ff_age_mw,ff_mass,dl_ttype,gz_p_nobulge,gz_p_obvious,gz_p_dominant,gz_ttype
1-138087,8252-12701,5.0951567832889975,11.100948512476148,9.147082328796387,4.315553665161133,,,,
1-210173,8979-12701,4.134596604287245,7.399746796214319,10.63598346710205,3.843813896179199,0.0,0.4736842105263158,0.2,1.8787368421052628
1-456925,8933-6102,6.746716215651402,9.895225624173795,9.791705131530762,-2.224264621734619,0.32608695652173914,0.525,0.0,4.798032608695652
1-384424,9493-1901,7.11987688686256,8.79909688924785,9.820963859558105,-1.6658283472061157,0.0,0.43333333333333335,0.0,3.646333333333333
1-152527,8144-6101,3.1084064144945525,6.886651496017264,9.908624649047852,2.506930351257324,0.06818181818181818,0.4871794871794872,0.17647058823529413,2.3295972165089807
1-272047,9025-3702,2.286297633007411,4.869456041911366,10.09450626373291,4.1629486083984375,0.0,0.3333333333333333,0.0,3.873333333333333
1-567284,9505-6103,11.970955453358632,13.463597491267796,10.925230979919434,-2.4680118560791016,0.0,0.3560933054359046,0.0,3.8216681966604966
1-418128,8446-12701,,,9.136146545410156,6.043054103851318,0.372093023255814,0.0,0.0,6.181627906976744
1-210802,8550-3703,7.21316695898937,8.93903192328091,10.208186149597168,0.3818044662475586,0.0,0.0,0.2058823529411765,2.904705882352941
1-456850,9876-12701,,,8.851177215576172,1.8423080444335938,0.3142857142857143,0.525,0.0,4.7488214285714285
1-612565,8948-3701,1.4523217408417388,3.411519345151316,9.042677879333496,5.071861743927002,0.9,0.0,0.0,8.383
1-73651,8244-3701,8.472581761518128,11.084701119453971,10.406795501708984,-0.005457520484924316,0.0,0.6521739130434783,0.16666666666666666,1.7528985507246373
1-178403,9085-6101,6.023312600582504,8.981317584451556,10.54556655883789,-1.1924751996994019,0.0,0.5,0.2857142857142857,1.1007142857142855
1-634806,8624-6104,9.066975244917236,12.060997523887334,10.474445343017578,-2.4401326179504395,0.0,0.4897959183673469,0.0,3.5181632653061223
1-460288,8241-6102,3.5748563730991503,6.116608810389347,10.187830924987793,4.048004627227783,0.0,0.42105263157894735,0.075,3.0457105263157898
1-37440,9193-12701,,,10.345810890197754,-1.09241783618927,,,,
1-23746,8611-12702,2.595311479480161,3.6215015363898475,10.057726860046387,3.0,0.0,0.14634146341463414,0.0,4.2978048780487805
1-295355,9047-12704,7.586326433133944,11.084701119453971,11.216919898986816,-0.9096654653549194,1.0,0.03333333333333333,0.0,8.724333333333334
1-149720,8991-3701,6.746716215651402,9.59206155880813,10.463201522827148,-2.283879280090332,0.3333333333333333,0.2903225806451613,0.0,5.360967741935483
1-592743,8329-6104,3.573639326471144,5.766416938366757,9.973206520080566,4.350436687469482,0.0,0.5714285714285714,0.05263157894736842,2.8918045112781954
1-419067,8322-6103,3.6913950704178324,7.306307494830699,9.48779582977295,4.671616077423096,0.11904761904761905,0.05882352941176471,0.0,4.992899159663865
1-36849,8077-12702,5.575715909214498,11.109495853427669,9.68713665008545,3.98997163772583,0.08695652173913042,0.07766387076731904,0.0,4.8163117090103595
1-218322,8942-12701,5.365252647589731,7.001544653080518,10.742964744567871,-2.088685989379883,0.0,0.7139424452199783,0.0,3.009350649350649
1-422976,8443-3701,7.073231925285029,9.032321773821996,10.389545440673828,-2.205720901489258,0.0,0.2583120632626334,0.6730032890156404,-1.5961359455572453
1-378500,8239-6103,3.6580249843381196,3.962450135328667,11.052216529846191,-2.5513834953308105,0.0,0.7105263157894737,0.0,3.0171052631578945
1-274366,8568-12702,0.5895764977199975,1.9889264983717039,9.529319763183594,5.22212553024292,0.18,0.125,0.0,5.096849999999999
1-210881,8604-12701,,,10.83282470703125,4.395486354827881,0.0,0.4985044865403789,0.13580246913580246,2.360370124195315
1-593982,9041-9101,6.653426643175339,10.011867729307061,10.394469261169434,2.7176380157470703,0.02564102564102564,0.5434782608695652,0.09523809523809523,2.7051321866539255
1-247977,8313-12701,3.4349214122871,6.233621639197801,10.277146339416504,4.950478553771973,0.04819277108433735,0.3809523809523809,0.025,3.7567019506597825
1-178130,7960-12705,4.410679496725618,8.020820419738284,10.156488418579102,4.216541290283203,,,,
1-576537,8465-12704,6.046322105355973,8.285475494683059,10.3369722366333,2.996746778488159,0.0,0.4871794871794872,0.0,3.524102564102564
1-339218,8134-6101,7.875294765723377,9.462928994588859,10.711830139160156,-2.3557252883911133,0.0,0.3333333333333333,0.375,0.730833333333333
1-457198,8933-12703,8.975864813530062,11.294002050338216,9.330503463745117,-1.6228007078170776,0.0,0.0,0.0,4.63
1-379545,8712-3704,5.922673615089741,7.256064653348766,10.903642654418945,-2.253584384918213,0.0,0.6666666666666666,0.3888888888888889,-0.1422222222222227
1-73667,8244-12701,,,10.95914363861084,-1.0260995626449585,1.0,0.0,0.0,8.8
1-179561,8615-1902,5.953751504299958,8.425936302927594,9.776236534118652,-2.161494255065918,0.0,0.5714285714285714,0.0,3.3328571428571427
1-228987,8086-1902,4.180200419043951,8.82214202717172,8.816774368286133,1.7094275951385498,0.2,0.0,0.0,5.464
1-95825,8612-1902,6.653426643175339,9.265546142266613,10.17408275604248,-2.1655702590942383,0.0,1.0,0.0,2.36
1-456658,8949-6104,,,8.977482795715332,1.3084312677383423,0.0,0.0,0.0,4.63
1-269212,9028-3702,3.061761525855268,5.300721839723057,10.079029083251953,-1.5543943643569946,0.0,0.0,0.0,4.63
1-317381,9888-12703,4.577150352736516,6.095264771691213,11.261805534362793,-2.370121479034424,,,,
1-256456,8451-12704,,,10.43476390838623,,0.0,0.2727272727272727,0.0,4.010909090909091
1-387066,9505-3703,8.092341467756851,12.284395770853285,9.000125885009766,2.9931814670562744,,,,
1-285062,8319-1902,6.722382678689217,7.585752762661547,10.059964179992676,-2.1589064598083496,0.0,1.0,0.0,2.36
1-201318,8145-12703,7.16652158889263,12.997145205901317,9.047812461853027,5.115283966064453,1.0,0.0,0.0,8.8
1-351911,8716-6101,5.118317791647316,10.098263800399327,9.551504135131836,0.8519008159637451,0.2813705052019557,0.0,0.0,5.803315006692156
1-173898,8948-6102,7.7262609954533445,11.59779745053492,10.061667442321777,-2.0544486045837402,0.03448275862068965,0.2307497057941251,0.012345679012345678,4.146534481172155
1-24660,9196-12703,4.780167567501641,10.19460491084378,10.719075202941895,0.9480738639831543,0.0,0.6470588235294118,0.14084507042253522,1.98089478044739
1-209407,8486-12704,1.5691214808237088,2.4553764849167554,9.079926490783691,3.471325397491455,0.2368421052631579,0.1427346763823403,0.0,5.293623863559456
1-137801,8247-3702,8.332646986900366,9.731995875871137,10.795426368713379,,0.2,0.3076923076923077,0.0,4.765538461538462
1-385070,9501-12701,5.0674964510901805,11.224637618897301,9.862855911254883,3.60994815826416,0.0975609756097561,0.4888888888888889,0.0,3.9270514905149057
1-297822,9492-1902,3.6681466293596534,4.274531498296256,10.245283126831055,-2.345334529876709,0.0,0.3508380244629786,0.43478260869565216,0.19011942359947298
1-387014,9505-9102,2.1175245924965758,4.4800879764469235,8.952259063720703,6.790445804595947,,,,
1-316023,9044-6101,3.2949863338222722,6.373556607224749,9.897002220153809,2.8979361057281494,0.054054054054054064,0.3333333333333333,0.075,3.470238738738739
1-36644,8153-6101,5.114141250660052,13.137082322548185,11.029741287231445,-2.1503777503967285,0.0,0.43478260869565216,0.5,-0.5469565217391308
1-133976,8486-9101,6.653426643175339,12.903857594316923,9.237957954406738,4.22432279586792,0.0,0.6,0.0,3.268
1-594520,8601-3702,8.239356916928411,10.011757803794605,10.447632789611816,-1.4667428731918335,,,,
1-285095,8319-12701,5.254076792949227,7.539681713145682,10.980481147766113,-2.6026105880737305,0.0,0.5897435897435898,0.24841634579555336,1.209553073515314
1-456947,8933-6104,7.912841682878407,10.94476660660481,9.429277420043945,-2.0707783699035645,0.0,0.0,1.0,-3.750000000000001
1-37547,8154-12705,2.4653866626659102,2.613539966551282,9.904138565063477,5.312477111816406,0.09090909090909093,0.4938921997958579,0.0,3.8879556155543114
1-456973,8934-1901,7.186780186968709,10.221529386119988,9.408485412597656,-2.0899620056152344,0.0,0.0,0.0,4.63
1-316700,9888-1901,7.600836691511816,10.561312184907008,10.662851333618164,-2.4317665100097656,0.0,0.0,1.0,-3.750000000000001
1-135506,8601-3704,6.897902372315943,11.54879617291339,9.407949447631836,2.156981945037842,0.4634146341463415,0.0,0.0,6.562439024390244
