mangaid,plateifu,p3d_age_lw,p3d_age_mw,p3d_mass,dl_ttype,gz_p_nobulge,gz_p_obvious,gz_p_dominant,gz_ttype
1-55552,10001-9102,8.318625532007173,10.403180594181215,10.961638450622559,-2.2794928550720215,0.0,0.6756756756756757,0.0,3.096216216216216
12-98126,7443-12701,1.978035724095094,3.1190707817488157,9.807561874389648,-1.1431795358657837,,,,
12-84674,7443-12702,1.7152759247970055,7.506619665664716,10.713910102844238,3.5246315002441406,,,,
12-193481,7443-12703,0.729036210340279,9.7949898472355,11.071284294128418,5.512857437133789,,,,
12-84731,7443-12704,1.1154621388239676,3.9436783772230775,10.003682136535645,4.882411003112793,,,,
12-84627,7443-12705,1.219569167296522,7.315138051389101,10.725253105163574,4.258265495300293,,,,
12-84620,7443-1901,1.1991240063325237,6.919922682967887,9.550277709960938,1.9177109003067017,,,,
12-49536,7443-1902,2.883797441556395,5.822059469984569,9.662288665771484,-0.726933479309082,,,,
12-193534,7443-3701,0.5202125214408382,4.182767988610793,9.31153678894043,4.876654624938965,,,,
12-84670,7443-3702,5.902566877547173,7.445009778807792,10.998109817504883,-2.3590569496154785,,,,
12-180451,7443-3703,1.5984186157894942,4.184228659906001,10.526366233825684,-1.550193190574646,,,,
12-84617,7443-3704,0.42188545182969595,5.117892819581064,9.312276840209961,4.667670249938965,,,,
12-84726,7443-6101,0.6421341549892797,1.8744830077148538,9.174378395080566,4.579235076904297,,,,
12-180432,7443-6102,0.7570102383232812,6.520580066404229,10.583531379699707,2.0,,,,
12-84665,7443-6103,0.595062846919698,7.208380066000085,9.759921073913574,5.296875953674316,,,,
12-84677,7443-6104,4.591694650250767,7.065998580250986,11.019137382507324,0.8992891311645508,,,,
12-84660,7443-9101,0.6376979498293027,8.414102923744673,10.679913520812988,5.0,,,,
12-84679,7443-9102,5.931997902168108,7.832783632746923,11.105212211608887,-2.0960288047790527,,,,
12-192120,7495-12701,4.704525957717039,7.610972673658467,10.795693397521973,3.4280166625976562,,,,
12-129612,7495-12702,1.745111564107081,8.150340031445015,10.589077949523926,4.7398200035095215,,,,
12-129646,7495-12703,1.3516229593247322,7.687583946836176,10.551702499389648,5.3419647216796875,,,,
12-129618,7495-12704,2.101234291178128,7.94433945022068,10.719759941101074,3.3607373237609863,,,,
12-129629,7495-12705,1.8659735986343593,6.778801485496171,10.813838958740234,2.465679168701172,,,,
12-110746,7495-1901,6.190682202098013,8.495290569935026,9.94182300567627,-2.1347603797912598,,,,
12-129608,7495-1902,3.781336282337599,6.879439002778375,9.833539962768555,0.06885349750518799,,,,
12-129446,7495-3701,1.6840115361181924,7.584495212230924,10.953583717346191,1.8,,,,
12-192149,7495-3702,1.1064237017697998,8.113411986849185,9.899139404296875,3.6463232040405273,,,,
12-110756,7495-3703,1.3146486507018693,6.375187326110415,9.719034194946289,3.249695301055908,,,,
12-129601,7495-3704,7.078313758305622,9.11068135580564,10.389150619506836,-2.119333267211914,,,,
