mangaid,dl_ttype,ff_age_lw,ff_age_mw,ff_mass,gz_p_dominant,gz_p_nobulge,gz_p_obvious,gz_ttype,p3d_age_lw,p3d_age_mw,p3d_mass,plateifu,z
1-113675,-1.9352854490280151,5.904158931666503,7.749268509089182,11.001387596130373,0.6153846153846154,0.0,0.4782608695652174,-1.6125752508361213,2.3588830692285248,4.620987996481599,11.210490226745604,8618-3702,0.129881
1-113698,3.2690491676330566,5.502276513522453,9.26507691614069,8.843575477600098,0.0,0.8571428571428571,0.4375,7.211160714285714,0.7962083462635163,8.980301947481601,9.498900413513184,8618-1901,0.0167445
1-113700,0.09027040004730223,9.592061558808131,13.743467904180136,9.423498153686523,0.1,0.04884196509250012,0.6666666666666666,2.482337661102392,0.3254930882863721,8.703700561923236,10.258919715881348,8618-12703,0.0378372
1-113712,2.969871997833252,6.084932192477464,10.020398880399895,10.415629386901855,,,,,1.7419261519734617,9.836050271931654,11.176201820373537,7815-6104,0.0806967
1-114073,5.5494422912597665,,,9.426989555358887,,,,,0.17481300491561358,1.0343386247572597,9.77061939239502,7975-12705,0.0402895
1-114082,0.4336372613906861,4.367821369388783,10.291735200925624,9.630940437316896,,,,,0.6898514915059055,5.656008725854468,10.145955085754396,7975-3701,0.0402683
1-114121,4.0447750091552725,5.020851214105307,7.679616943563506,10.82733154296875,,,,,5.992037728166675,9.359742169451005,11.16001796722412,7975-12701,0.0879313
1-114128,-2.5037474632263184,9.312191480819683,11.877666075915961,10.756412506103516,,,,,6.75699932798578,8.585496418287303,10.959783554077148,7975-6101,0.077875
1-114129,0.2706506848335266,2.7352464305625177,6.280266071331915,10.61634922027588,,,,,1.1436430144118772,7.467244337991415,10.618600845336914,7975-12702,0.0774097
1-114145,3.610191345214844,5.1607861596243,7.726260995453344,10.37049674987793,,,,,3.4599676380278432,8.01657459721366,10.619704246520996,7975-6102,0.0341885
