ID,zCMB,mu,e_mu,RA,DEC,Sample,Host,morphology,Morph_quality,Notes,Host_RA,Host_DEC,cutsmask,mu_cosmo,HR,HR_err,H0
sn2002bf,0.02488333333333333,34.50253826723309,0.13712537741693406,153.92777016188646,55.638313057527895,Old,CGCG 266-031,Sb,0.0,,153.92606,55.667485,True,34.39334369151188,0.1091945757212116,0.15868477950011148,100.52725350224148
sn2001v,0.016186666666666658,33.09885484611045,0.10175498730583436,179.31705341865364,25.20150455542583,Old,NGC 3987,Sb,0.0,,,,True,33.445388759957645,-0.3465339138471961,0.12935056070567652,100.52725350224148
sn2001cz,0.01264,33.31105704985756,0.1498387314343092,191.86833286107125,-39.56532732745783,Old,NGC 4679,Sbc,0.0,,191.87604199999998,-39.570861,True,32.90249401419986,0.4085630356576999,0.16979144722601736,100.52725350224148
sn2001cn,0.014683333333333331,33.177657582903144,0.15478000403260544,281.66408049019583,-65.80820366461903,Old,IC 4758,Sc,0.0,,281.576125,-65.75666700000001,True,33.23125197081454,-0.05359438791139581,0.1741675623116881,100.52725350224148
sn2001bt,0.01374,33.07724273208849,0.15733771788883358,288.5020158870953,-59.31734108496757,Old,IC 4830,Sb,0.0,,288.452333,-59.294361,True,33.08550777939804,-0.008265047309542695,0.17644446033732136,100.52725350224148
sn2001ba,0.030476666666666662,34.86256302432023,0.10942339792780546,174.5061047913303,-32.36019047446593,Old,MCG -05-28-1,Sb,0.0,,174.502042,-32.324694,True,34.842675495370514,0.019887528949723787,0.13546575259942736,100.52725350224148
sn2001ay,0.030886666666666663,34.95106716518498,0.12941662636231746,216.60269475520832,26.25397238411293,Old,IC 4423,Sb,0.0,,216.573909,26.246131,True,34.87235292031799,0.07871424486699398,0.1520728552117901,100.52725350224148
sn2000fa,0.02178333333333333,34.034550302182716,0.12919749500889513,108.9099623557114,23.407777388082472,Old,UGC 3770,Ir,0.0,,108.873208,23.42625,True,34.09938190508164,-0.06483160289892709,0.15188641423720514,100.52725350224148
sn2000dk,0.01589666666666667,33.38402314266223,0.145807403901007,16.817509928733188,32.45279388612001,Old,NGC 382,E,0.0,,16.849463,32.403864,True,33.40565536125203,-0.0216322185898008,0.16624466651779773,100.52725350224148
sn2000cn,0.02319333333333333,34.19262297810289,0.1204436601395677,269.4221258965481,27.787758473018865,Old,UGC 11064,Sc,0.0,,269.420917,27.834721999999996,True,34.23787160499969,-0.045248626896800204,0.1445135473963534,100.52725350224148
sn2000cf,0.03647333333333334,35.35273993367256,0.11777855313827601,238.14579579386074,65.92954037753194,Old,MCG +11-19-25,Sb,0.0,,238.232208,65.935583,True,35.242322763523475,0.11041717014907704,0.1422999567554681,100.52725350224148
sn2000ce,0.01648666666666667,33.427736372078144,0.19879994448757946,121.27993483965695,66.78424728784032,Old,UGC 4195,Sb,0.0,,121.278625,66.782917,True,33.48575877171285,-0.05802239963470868,0.2142403044282916,100.52725350224148
sn2000ca,0.024483333333333333,34.228458744305875,0.10600152465693152,203.84909416591012,-34.193745532248265,Old,ESO 383-32,Sc,0.0,,203.844708,-34.159583000000005,True,34.35750450618026,-0.1290457618743872,0.13271704239793944,100.52725350224148
sn2000bk,0.026586666666666668,34.42533714519421,0.1751187427029241,188.47592842899,-7.411698319602637,Old,NGC 4520,S0-,0.0,,188.45791200000002,-7.3755440000000005,True,34.53988030030543,-0.11454315511121392,0.19246834586267766,100.52725350224148
sn2000bh,0.02418333333333333,34.290843123776305,0.15510517210830418,185.27476324064705,-22.027248902238703,Old,ESO 573-14,Sc,0.0,,185.315875,-21.99575,True,34.33024549562261,-0.03940237184630036,0.174456597834559,100.52725350224148
sn2000b,0.01992333333333333,33.67541977786218,0.23126442590699176,106.41231629500452,50.63601754827286,Old,NGC 2320,S0-,0.0,,106.425125,50.581056,True,33.90253480063376,-0.2271150227715779,0.244664514802112,100.52725350224148
sn1999x,0.02573333333333333,34.578415896386446,0.1544417624756767,133.64692978625743,36.500883343350985,Old,CGCG 180-022,Sa,0.0,,133.63263500000002,36.509615999999994,True,34.46765926355816,0.1107566328282843,0.1738670414709347,100.52725350224148
sn1999gp,0.026019999999999998,34.653782876003106,0.10303728855353353,37.8586065374271,39.40399199556225,Old,UGC 1993,Sd,0.0,,37.916917,39.378361,True,34.49217989148697,0.16160298451613642,0.1303617004557954,100.52725350224148
sn1999gd,0.01925,33.65399791260856,0.18765810946436806,129.61819338010392,25.79370753979112,Old,NGC 2623,Sab,0.0,,129.60031999999998,25.754638,True,33.82677757540731,-0.172779662798753,0.20394375734746856,100.52725350224148
sn1999ek,0.017586666666666667,33.429538797921,0.14638633750109606,84.16088679879478,16.6587088760288,Old,UGC 3329,Sbc,0.0,,84.13575,16.648861,True,33.6278173753229,-0.1982785774019007,0.16675266090904575,100.52725350224148
sn1999ee,0.010543333333333332,32.53280655579188,0.13614247081606634,334.0041515326205,-36.84750908255074,Old,IC 5179,Sbc,0.0,,334.037917,-36.843722,True,32.50517977612027,0.027626779671606986,0.15783618873112046,100.52725350224148
sn1999dq,0.01349,32.758255953693535,0.09878696183444974,38.454074760688044,20.964824767352813,Old,NGC 976,Sbc,0.0,,38.500083000000004,20.976778,True,33.045221515116246,-0.28696556142271845,0.12702894922710894,100.52725350224148
sn1999dk,0.013890000000000001,33.21277920544007,0.10800126354916988,22.820458614054303,14.257132008962689,Old,UGC 1087,Scd,0.0,,22.860833,14.2775,True,33.10933268106854,0.10344652437153457,0.13431963014198495,100.52725350224148
sn1999da,0.012490000000000001,32.97862099824529,0.10200432048787124,263.9476425682988,60.78856668304906,Old,NGC 6411,E,0.0,,263.886877,60.813402,True,32.87632304419196,0.1022979540533342,0.12954679274862324,100.52725350224148
sn1999cp,0.01039,32.49504086633964,0.13229704313161258,211.66102230227563,-5.440178552408277,Old,NGC 5468,Scd,0.0,,211.645375,-5.453111,True,32.473113745024385,0.02192712131525809,0.1545315428468575,100.52725350224148
sn1999cc,0.03147666666666667,34.87255109494485,0.12074035489412707,240.7260972092786,37.38110825599656,Old,NGC 6038,Sbc,0.0,,240.66896,37.359497,True,34.91438979750801,-0.04183870256315458,0.14476091811404812,100.52725350224148
sn1999aa,0.015286666666666669,33.47632517802139,0.09301272399673784,126.90418905106371,21.503230103045784,Old,NGC 2595,Scd,0.0,,126.925097,21.479108,True,33.31968579085093,0.15663938717046474,0.12259223849231128,100.52725350224148
